provider_id,provider_name,specialty,provider_type,state,city,hospital_name,years_experience,network_tier
PRV00001,Dr. Ryan Peterson,Oncology,PHYSICIAN,WI,Novakmouth,,15,IN_NETWORK
PRV00002,Lake Joshuamouth Medical Center,Pulmonology,HOSPITAL,NM,West Angela,Lake Joshuamouth Medical Center,50,IN_NETWORK
PRV00003,Reynolds-Frazier Pharmacy,Pharmacy,PHARMACY,TN,Millerport,,16,IN_NETWORK
PRV00004,Marquez Inc Pharmacy,Pharmacy,PHARMACY,KY,South Jennifer,,28,IN_NETWORK
PRV00005,"Moore, Price and Ward Pharmacy",Pharmacy,PHARMACY,CO,West Seanview,,11,IN_NETWORK
PRV00006,Dr. Brandon Jordan,Orthopedics,PHYSICIAN,OH,Garcialand,,14,OUT_OF_NETWORK
PRV00007,Spencer-Carlson Pharmacy,Pharmacy,PHARMACY,WY,Michelletown,,21,IN_NETWORK
PRV00008,Dr. James Miller,Gastroenterology,PHYSICIAN,MH,New Adriana,,20,IN_NETWORK
PRV00009,Dr. Caroline Adams,Endocrinology,PHYSICIAN,KY,Thomasburgh,,19,IN_NETWORK
PRV00010,Hillport Medical Center,Endocrinology,HOSPITAL,NJ,West Johnathanbury,Hillport Medical Center,12,IN_NETWORK
PRV00011,Wheelerborough Medical Center,Dermatology,HOSPITAL,NH,East Kevinfurt,Wheelerborough Medical Center,13,IN_NETWORK
PRV00012,Skinner-James Pharmacy,Pharmacy,PHARMACY,VI,Scottchester,,24,OUT_OF_NETWORK
PRV00013,West Malik Medical Center,Primary Care,HOSPITAL,UT,South Leon,West Malik Medical Center,46,IN_NETWORK
PRV00014,Dr. Tracy Carter,Neurology,PHYSICIAN,UT,Faulknerbury,,17,OUT_OF_NETWORK
PRV00015,Bennett-Velasquez Pharmacy,Pharmacy,PHARMACY,MO,Danielshire,,7,IN_NETWORK
PRV00016,Dr. Zachary White,Gastroenterology,PHYSICIAN,WI,Lake Stevenborough,,28,IN_NETWORK
PRV00017,Dr. Eddie Schwartz,Pulmonology,PHYSICIAN,GU,Chambersberg,,24,IN_NETWORK
PRV00018,Johnberg Medical Center,Pulmonology,HOSPITAL,VT,Mccormickland,Johnberg Medical Center,49,IN_NETWORK
PRV00019,Ewing-Mendoza Pharmacy,Pharmacy,PHARMACY,MO,Stephensstad,,29,OUT_OF_NETWORK
PRV00020,Dr. Robin Wheeler,Orthopedics,PHYSICIAN,PW,North Kaylastad,,25,IN_NETWORK
PRV00021,Holland Inc Pharmacy,Pharmacy,PHARMACY,OK,Rasmussenmouth,,24,OUT_OF_NETWORK
PRV00022,Dr. Jessica Smith,Cardiology,PHYSICIAN,KS,New Julie,,23,IN_NETWORK
PRV00023,Dr. Melissa Walker,Gastroenterology,PHYSICIAN,MN,Fordshire,,19,IN_NETWORK
PRV00024,West Whitney Medical Center,Cardiology,HOSPITAL,NJ,West Robertland,West Whitney Medical Center,43,OUT_OF_NETWORK
PRV00025,Port Sheliaberg Medical Center,Psychiatry,HOSPITAL,MI,Matthewborough,Port Sheliaberg Medical Center,42,IN_NETWORK
PRV00026,Dr. Hannah Davis,Oncology,PHYSICIAN,VA,Floresport,,15,IN_NETWORK
PRV00027,Dr. Michael Johnson,Orthopedics,PHYSICIAN,MA,Lake Laurenbury,,13,OUT_OF_NETWORK
PRV00028,"Thompson, Moore and Castro Pharmacy",Pharmacy,PHARMACY,NH,Port Richard,,22,IN_NETWORK
PRV00029,Dr. Martin Reynolds,Pulmonology,PHYSICIAN,AK,South Brittany,,16,OUT_OF_NETWORK
PRV00030,Smithborough Medical Center,Orthopedics,HOSPITAL,IL,Karenland,Smithborough Medical Center,23,IN_NETWORK
PRV00031,"Garcia, Wiggins and Lopez Pharmacy",Pharmacy,PHARMACY,MD,South Daniel,,28,IN_NETWORK
PRV00032,"Huffman, Rose and Fowler Pharmacy",Pharmacy,PHARMACY,PA,Carrshire,,7,IN_NETWORK
PRV00033,Dr. Harold Ellis,Cardiology,PHYSICIAN,HI,Samanthashire,,32,IN_NETWORK
PRV00034,Dr. Cesar Wilson,Orthopedics,PHYSICIAN,ME,East Nathanielberg,,7,IN_NETWORK
